ADM2_CODE,ADM2_NAME,ADM1_NAME,CDI_mean,CDI_std,CDI_min,CDI_max,CDI_median,n_observations,n_partial,worst_drought_date,worst_drought_month
3448,Eshkmesh,Badakhshan,51.87,18.88,8.51,99.88,51.3,307,0,2008-07-01,2008-07
3452,Koran wa Monjan,Badakhshan,51.53,17.56,7.93,92.28,51.73,307,0,2001-04-01,2001-04
3454,Shahr-e-Buzorg,Badakhshan,47.41,21.38,3.07,95.73,46.56,307,0,2008-03-01,2008-03
3455,Shighnan,Badakhshan,50.34,19.41,5.85,95.07,49.32,307,0,2010-12-01,2010-12
3456,Wakhan,Badakhshan,53.69,15.93,11.02,91.68,53.72,307,0,2001-06-01,2001-06
3457,Zebak,Badakhshan,51.07,17.97,9.17,97.59,50.48,307,0,2001-03-01,2001-03
3459,Ghormach,Badghis,47.87,20.46,4.04,94.24,48.4,307,0,2018-01-01,2018-01
3460,Jawand,Badghis,47.91,22.16,0.94,96.33,49.27,307,0,2000-06-01,2000-06
3462,Balamurghab,Badghis,47.65,20.3,3.71,94.2,48.66,307,0,2018-01-01,2018-01
3468,Burka,Baghlan,48.5,21.15,2.06,90.19,49.68,307,0,2000-06-01,2000-06
3469,Dahana-e-Ghori,Baghlan,50.46,21.28,0.22,91.66,51.48,307,0,2023-06-01,2023-06
3470,Doshi,Baghlan,50.9,20.69,1.91,95.89,52.34,307,0,2023-06-01,2023-06
3472,Khenjan,Baghlan,48.75,19.99,2.78,93.17,50.11,307,0,2023-06-01,2023-06
3475,Pul-e- khumri,Baghlan,49.39,20.21,4.35,93.44,51.25,307,0,2008-03-01,2008-03
3476,Tala Wa barfak,Baghlan,50.37,19.92,6.66,96.7,50.35,307,0,2023-06-01,2023-06
3477,Balkh,Balkh,51.74,21.38,5.92,97.11,52.6,307,0,2018-01-01,2018-01
3478,Charbulak,Balkh,48.87,21.54,5.22,93.59,48.74,307,0,2000-07-01,2000-07
3479,Charkent,Balkh,48.82,20.14,4.12,93.09,48.09,307,0,2000-06-01,2000-06
3480,Chemtal,Balkh,47.71,18.94,4.09,95.65,49.55,307,0,2018-01-01,2018-01
3481,Dawlatabad,Balkh,49.54,19.66,7.49,93.99,49.23,307,0,2001-04-01,2001-04
3482,Dehdadi,Balkh,51.21,20.01,3.44,94.73,53.13,307,0,2018-01-01,2018-01
3486,Marmul,Balkh,46.57,17.95,3.46,90.64,46.97,307,0,2018-01-01,2018-01
3487,Mazar-e-Sharif,Balkh,48.08,18.4,2.61,88.39,48.31,307,0,2018-01-01,2018-01
3488,Nahr-e- Shahi,Balkh,48.43,19.46,4.22,90.88,49.94,307,0,2010-12-01,2010-12
3489,Sholgareh,Balkh,48.03,19.4,7.67,94.9,48.75,307,0,2001-05-01,2001-05
3490,Shortepa,Balkh,51.15,18.93,7.35,97.19,51.11,307,0,2001-04-01,2001-04
3491,Bamyan,Bamyan,49.46,18.48,6.76,94.17,49.1,307,0,2000-06-01,2000-06
3493,Shibar,Bamyan,50.23,18.88,8.42,94.94,49.58,307,0,2001-06-01,2001-06
3495,Yakawlang,Bamyan,49.31,18.21,1.01,93.88,49.32,307,0,2000-06-01,2000-06
3496,Anardara,Farah,46.91,17.93,8.15,92.19,46.97,307,0,2001-04-01,2001-04
3497,Bakwa,Farah,49.46,19.68,8.66,96.51,50.2,307,26,2001-03-01,2001-03
3498,Balabuluk,Farah,48.05,20.21,7.39,96.75,48.19,307,26,2008-03-01,2008-03
3499,Farah,Farah,50.07,19.6,5.99,96.58,50.44,307,26,2002-09-01,2002-09
3500,Gulestan,Farah,48.38,19.89,6.72,95.53,47.92,307,26,2021-04-01,2021-04
3501,Khak-e-Safed,Farah,49.09,20.5,3.45,100.0,48.52,307,26,2011-01-01,2011-01
3502,Lash-e-Juwayn,Farah,50.6,17.79,10.06,95.76,51.29,307,0,2008-04-01,2008-04
3503,Purchaman,Farah,48.23,20.12,3.15,99.53,48.21,307,26,2004-04-01,2004-04
3504,Pushtrod,Farah,50.46,21.57,6.27,100.0,49.32,307,26,2011-01-01,2011-01
3505,Qala-e-Kah,Farah,49.05,19.0,6.45,99.4,49.08,307,26,2008-04-01,2008-04
3506,Shibkoh,Farah,49.75,18.37,8.7,97.46,49.96,307,26,2001-04-01,2001-04
3507,Almar,Faryab,46.61,20.44,3.81,95.55,47.22,307,0,2018-01-01,2018-01
3508,Qorghan,Faryab,45.78,18.14,0.61,93.76,45.89,307,26,2018-09-01,2018-09
3510,Dawlatabad,Faryab,46.77,18.41,6.7,93.65,47.06,307,0,2010-12-01,2010-12
3511,Khan-e-Char Bagh,Faryab,47.01,18.16,6.9,93.37,46.05,307,26,2023-03-01,2023-03
3513,Kohestan,Faryab,47.75,21.98,1.66,96.05,48.76,307,0,2000-06-01,2000-06
3517,Qaysar,Faryab,49.21,21.18,3.68,95.8,49.99,307,0,2018-01-01,2018-01
3518,Shirintagab,Faryab,46.29,19.49,4.09,95.57,47.32,307,0,2018-01-01,2018-01
3519,Abband,Ghazni,51.5,21.38,3.23,98.01,51.37,307,0,2004-04-01,2004-04
3520,Ajrestan,Ghazni,51.5,19.73,4.6,96.25,51.97,307,0,2000-06-01,2000-06
3521,Andar,Ghazni,50.91,21.96,2.66,94.09,51.09,307,0,2004-04-01,2004-04
3523,Dehyak,Ghazni,50.74,21.94,5.66,94.66,50.31,307,0,2000-06-01,2000-06
3524,Gelan,Ghazni,50.51,21.0,4.35,98.27,48.42,307,0,2004-04-01,2004-04
3525,Ghazni,Ghazni,50.15,21.73,3.97,91.52,50.21,307,0,2004-04-01,2004-04
3526,Giro,Ghazni,50.94,21.02,2.51,97.4,49.81,307,0,2004-04-01,2004-04
3528,Jaghuri,Ghazni,51.65,18.61,4.71,93.28,52.07,307,0,2000-06-01,2000-06
